congress,chamber,rollnumber,icpsr,cast_code,prob
82,Senate,5,4328,1,97.0
82,Senate,5,4382,6,60.1
82,Senate,5,4418,1,41.8
82,Senate,5,4483,6,74.2
82,Senate,5,4520,6,78.6
82,Senate,5,4728,1,98.2
82,Senate,5,4747,1,73.3
82,Senate,5,4834,1,88.8
82,Senate,5,4922,7,19.8
82,Senate,5,4949,6,74.9
82,Senate,5,4979,6,34.9
82,Senate,5,5009,6,82.2
82,Senate,5,5122,2,93.3
82,Senate,5,5158,1,22.7
82,Senate,5,5213,6,57.3
82,Senate,5,5240,1,98.4
82,Senate,5,5343,6,40.2
82,Senate,5,5452,1,30.3
82,Senate,5,5591,1,99.8
82,Senate,5,5739,1,86.3
82,Senate,5,5767,1,26.6
82,Senate,5,5913,1,92.2
82,Senate,5,5944,6,88.8
82,Senate,5,6021,6,57.1
82,Senate,5,6107,6,81.8
82,Senate,5,6132,6,86.0
82,Senate,5,6137,6,70.1
82,Senate,5,6151,6,93.9
82,Senate,5,6242,6,48.2
82,Senate,5,6293,7,24.8
82,Senate,5,6346,7,1.3
82,Senate,5,6525,6,63.9
82,Senate,5,6597,1,79.6
82,Senate,5,6796,1,32.4
82,Senate,5,6820,1,93.9
82,Senate,5,6856,1,89.8
82,Senate,5,6939,7,64.2
82,Senate,5,7020,1,71.0
82,Senate,5,7070,1,82.3
82,Senate,5,7229,1,94.8
82,Senate,5,7958,6,90.7
82,Senate,5,8138,6,94.3
82,Senate,5,8185,1,68.7
82,Senate,5,8270,1,24.3
82,Senate,5,8593,1,32.9
82,Senate,5,8635,6,21.0
82,Senate,5,8666,6,29.0
82,Senate,5,8708,6,95.4
82,Senate,5,8764,7,63.9
82,Senate,5,8883,6,91.5
82,Senate,5,9152,6,44.1
82,Senate,5,9374,1,66.3
82,Senate,5,9401,1,84.1
82,Senate,5,9604,7,47.8
82,Senate,5,9865,1,40.2
82,Senate,5,9930,7,10.3
82,Senate,5,9998,6,86.9
82,Senate,5,10110,1,63.9
82,Senate,5,10163,6,66.2
82,Senate,5,10450,2,29.9
82,Senate,5,96738,1,96.9
82,Senate,6,52,6,76.7
82,Senate,6,165,6,79.0
82,Senate,6,645,1,63.8
82,Senate,6,659,7,0.3
82,Senate,6,1021,6,52.2
82,Senate,6,1024,1,70.6
82,Senate,6,1027,6,46.9
82,Senate,6,1338,1,83.4
82,Senate,6,1341,1,64.5
82,Senate,6,1365,1,89.1
82,Senate,6,1395,6,27.2
82,Senate,6,1489,1,64.2
82,Senate,6,1510,1,51.2
82,Senate,6,1570,1,67.2
82,Senate,6,1659,1,74.3
82,Senate,6,1678,7,31.3
82,Senate,6,1831,6,70.3
82,Senate,6,1986,1,48.0
82,Senate,6,2066,6,31.6
82,Senate,6,2609,2,47.5
82,Senate,6,2691,6,99.8
82,Senate,6,2745,1,19.7
82,Senate,6,2803,6,21.7
82,Senate,6,2822,1,94.8
82,Senate,6,2838,1,90.7
82,Senate,6,2901,1,89.4
82,Senate,6,3110,6,66.1
82,Senate,6,3206,6,75.4
82,Senate,6,3349,1,73.8
82,Senate,6,3388,6,55.0
82,Senate,6,3536,1,52.0
82,Senate,6,3603,7,49.5
82,Senate,6,3783,6,96.2
82,Senate,6,4227,1,25.3
82,Senate,6,4321,6,72.5
82,Senate,6,4328,6,96.7
