congress,chamber,rollnumber,icpsr,cast_code,prob
82,House,2,6826,6,97.8
82,House,2,6863,6,82.5
82,House,2,6922,6,99.4
82,House,2,6955,1,14.3
82,House,2,6958,6,97.8
82,House,2,6998,1,99.8
82,House,2,7004,1,99.8
82,House,2,7044,6,99.7
82,House,2,7046,1,23.9
82,House,2,7078,1,99.9
82,House,2,7102,6,69.5
82,House,2,7114,1,100.0
82,House,2,7228,6,96.5
82,House,2,7232,1,79.6
82,House,2,7234,1,37.5
82,House,2,7245,6,27.6
82,House,2,7343,1,95.1
82,House,2,7408,1,96.4
82,House,2,7415,6,98.4
82,House,2,7430,6,99.1
82,House,2,7498,6,95.6
82,House,2,7506,1,60.9
82,House,2,7551,6,78.7
82,House,2,7566,6,72.3
82,House,2,7568,1,100.0
82,House,2,7605,6,80.6
82,House,2,7610,1,98.5
82,House,2,7622,1,77.7
82,House,2,7637,1,45.9
82,House,2,7680,1,99.7
82,House,2,7682,1,99.7
82,House,2,7687,6,52.4
82,House,2,7695,6,38.5
82,House,2,7702,1,99.9
82,House,2,7731,6,99.0
82,House,2,7771,1,85.4
82,House,2,7774,6,92.9
82,House,2,7777,6,97.1
82,House,2,7779,6,96.0
82,House,2,7781,6,99.6
82,House,2,7799,6,97.8
82,House,2,7806,6,99.6
82,House,2,7844,1,99.5
82,House,2,7847,1,99.7
82,House,2,7869,6,79.6
82,House,2,7901,6,60.0
82,House,2,7908,6,92.9
82,House,2,7925,6,95.1
82,House,2,7954,6,51.8
82,House,2,7969,6,99.3
82,House,2,8010,1,99.9
82,House,2,8021,1,94.2
82,House,2,8023,6,94.3
82,House,2,8024,1,48.5
82,House,2,8035,6,97.1
82,House,2,8049,1,98.9
82,House,2,8050,1,100.0
82,House,2,8163,1,100.0
82,House,2,8170,6,54.5
82,House,2,8177,6,89.8
82,House,2,8219,1,86.8
82,House,2,8247,1,20.6
82,House,2,8283,6,100.0
82,House,2,8299,6,38.3
82,House,2,8301,6,35.2
82,House,2,8318,6,99.1
82,House,2,8322,6,88.5
82,House,2,8341,1,55.2
82,House,2,8346,1,77.2
82,House,2,8392,6,99.4
82,House,2,8426,6,94.6
82,House,2,8437,1,99.7
82,House,2,8444,1,89.7
82,House,2,8484,6,99.8
82,House,2,8506,1,99.6
82,House,2,8507,6,89.2
82,House,2,8532,6,97.1
82,House,2,8533,6,98.7
82,House,2,8556,6,57.6
82,House,2,8616,6,76.4
82,House,2,8636,6,99.2
82,House,2,8663,6,99.6
82,House,2,8709,6,100.0
82,House,2,8778,1,94.5
82,House,2,8814,6,83.3
82,House,2,8824,1,95.4
82,House,2,8839,6,99.2
82,House,2,8866,6,42.2
82,House,2,8879,6,95.2
82,House,2,8949,1,72.8
82,House,2,8960,6,97.7
82,House,2,9071,1,99.7
82,House,2,9099,1,42.8
82,House,2,9144,6,99.6
82,House,2,9148,6,89.5
82,House,2,9168,6,96.1
82,House,2,9203,1,35.3
82,House,2,9241,6,94.0
82,House,2,9284,1,60.9
82,House,2,9320,1,57.5
82,House,2,9338,6,99.2
82,House,2,9356,1,65.5
82,House,2,9409,1,58.9
82,House,2,9427,6,82.9
82,House,2,9473,1,76.2
82,House,2,9561,1,66.8
82,House,2,9584,6,98.6
82,House,2,9627,6,99.3
82,House,2,9645,1,50.2
82,House,2,9653,6,83.9
82,House,2,9657,6,98.6
82,House,2,9677,6,57.6
82,House,2,9688,6,85.8
82,House,2,9693,6,98.1
82,House,2,9791,1,91.4
82,House,2,9917,6,93.7
82,House,2,9927,1,98.9
82,House,2,9956,6,99.0
82,House,2,9978,6,97.3
82,House,2,9996,6,99.7
82,House,2,10002,1,68.9
82,House,2,10075,6,86.8
82,House,2,10085,1,56.7
82,House,2,10091,6,51.7
82,House,2,10092,1,100.0
82,House,2,10095,6,65.3
82,House,2,10162,6,99.9
82,House,2,10191,6,92.1
82,House,2,10201,6,79.3
82,House,2,10212,6,98.0
82,House,2,10244,6,99.7
82,House,2,10279,6,99.5
82,House,2,10299,1,43.1
82,House,2,10303,6,92.5
82,House,2,10314,1,80.1
82,House,2,10329,6,99.5
82,House,2,10330,6,99.9
82,House,2,10348,6,99.8
82,House,2,10421,1,100.0
82,House,2,10431,1,97.0
82,House,2,10463,1,96.6
82,House,2,99900,9,99.4
82,House,3,1,1,95.9
82,House,3,2,1,99.9
82,House,3,13,1,99.8
82,House,3,18,1,95.6
82,House,3,46,6,100.0
82,House,3,62,6,91.9
82,House,3,100,1,89.6
82,House,3,116,1,68.2
82,House,3,121,1,97.5
82,House,3,158,6,1.8
82,House,3,173,1,93.0
82,House,3,188,1,98.8
82,House,3,195,1,99.2
82,House,3,205,6,100.0
82,House,3,226,1,92.2
82,House,3,235,1,95.0
82,House,3,275,6,88.2
82,House,3,291,1,60.6
82,House,3,310,6,42.1
82,House,3,339,6,92.9
82,House,3,364,1,79.8
82,House,3,431,1,99.2
82,House,3,433,6,14.4
82,House,3,465,6,99.9
82,House,3,516,1,17.0
82,House,3,518,1,60.6
82,House,3,520,1,80.0
82,House,3,546,1,50.6
82,House,3,550,1,97.1
82,House,3,567,6,40.8
82,House,3,590,1,98.5
82,House,3,621,6,70.2
82,House,3,633,1,69.7
82,House,3,639,6,16.8
82,House,3,660,6,49.0
82,House,3,672,1,99.0
82,House,3,680,1,97.8
82,House,3,731,6,13.9
82,House,3,758,1,82.5
82,House,3,789,6,99.9
82,House,3,823,1,49.0
82,House,3,824,1,14.0
82,House,3,835,6,99.9
82,House,3,837,6,31.8
82,House,3,846,1,93.5
82,House,3,869,6,97.6
82,House,3,891,1,97.1
82,House,3,937,1,93.4
82,House,3,971,1,93.6
82,House,3,986,1,96.6
82,House,3,998,6,99.6
82,House,3,1000,1,92.2
82,House,3,1081,6,7.1
82,House,3,1104,1,97.3
82,House,3,1130,1,88.0
82,House,3,1152,1,90.8
82,House,3,1181,1,91.7
82,House,3,1184,6,99.9
82,House,3,1205,6,100.0
82,House,3,1215,1,99.7
82,House,3,1218,1,98.6
82,House,3,1254,6,71.1
82,House,3,1282,1,99.6
82,House,3,1300,6,98.0
82,House,3,1316,1,90.5
82,House,3,1324,1,97.4
82,House,3,1328,1,89.9
82,House,3,1340,1,63.6
82,House,3,1369,6,99.9
82,House,3,1371,1,92.3
82,House,3,1439,1,89.7
82,House,3,1476,6,95.1
